Trip ID,Pickup Date,Pickup Hour,Vehicle,Payment_type,No Of Passengers,Trip Distance,Booking Value,Pickup Location,Total Bookings
112,2024-06-01 00:00:00,1899-12-30 05:19:56,UberX,Uber Pay,1,7.1,$23.5,East Chelsea,1.0
118,2024-06-01 00:00:00,1899-12-30 05:38:18,UberX,Uber Pay,1,3.3,$15.5,Garment District,1.0
119,2024-06-01 00:00:00,1899-12-30 05:41:43,UberX,Uber Pay,2,4.89,$16.0,East Harlem South,1.0
127,2024-06-01 00:00:00,1899-12-30 05:24:54,UberX,Uber Pay,1,2.28,$11.6,Lincoln Square West,1.0
131,2024-06-01 00:00:00,1899-12-30 05:19:46,UberX,Uber Pay,1,17.73,$56.7,JFK Airport,1.0
134,2024-06-01 00:00:00,1899-12-30 06:32:40,UberX,Uber Pay,1,2.7,$12.6,Upper West Side North,1.0
139,2024-06-01 00:00:00,1899-12-30 06:17:53,UberX,Uber Pay,1,1.9,$10.9,Penn Station/Madison Sq West,1.0
140,2024-06-01 00:00:00,1899-12-30 07:41:37,UberX,Uber Pay,1,2.27,$11.5,Central Park,1.0
145,2024-06-01 00:00:00,1899-12-30 06:49:12,UberX,Uber Pay,1,1.32,$6.5,East Harlem South,1.0
150,2024-06-01 00:00:00,1899-12-30 06:55:34,UberX,Uber Pay,1,2.47,$12.7,Flatiron,1.0
156,2024-06-01 00:00:00,1899-12-30 06:30:17,UberX,Uber Pay,1,4.51,$17.5,Yorkville East,1.0
160,2024-06-01 00:00:00,1899-12-30 06:42:11,UberX,Uber Pay,1,3.41,$15.7,Upper East Side North,1.0
163,2024-06-01 00:00:00,1899-12-30 06:34:02,UberX,Uber Pay,1,1.11,$6.7,East Village,1.0
166,2024-06-01 00:00:00,1899-12-30 06:37:30,UberX,Uber Pay,1,1.93,$10.3,Penn Station/Madison Sq West,1.0
168,2024-06-01 00:00:00,1899-12-30 06:22:28,UberX,Uber Pay,2,1.01,$6.7,Murray Hill,1.0
171,2024-06-01 00:00:00,1899-12-30 06:53:59,UberX,Uber Pay,1,2.9,$16.3,Central Park,1.0
172,2024-06-01 00:00:00,1899-12-30 06:44:37,UberX,Uber Pay,1,5.28,$22.5,Upper West Side North,1.0
173,2024-06-01 00:00:00,1899-12-30 06:37:52,UberX,Uber Pay,1,11.68,$40.4,JFK Airport,1.0
174,2024-06-01 00:00:00,1899-12-30 06:00:41,UberX,Uber Pay,1,3.3,$13.0,Morningside Heights,1.0
182,2024-06-01 00:00:00,1899-12-30 06:59:07,UberX,Uber Pay,1,1.84,$9.7,Lenox Hill East,1.0
189,2024-06-01 00:00:00,1899-12-30 06:33:11,UberX,Uber Pay,1,1.54,$9.5,Midtown East,1.0
191,2024-06-01 00:00:00,1899-12-30 06:36:56,UberX,Uber Pay,1,2.6,$11.5,Upper East Side North,1.0
195,2024-06-01 00:00:00,1899-12-30 06:00:13,UberX,Uber Pay,1,2,$10.3,NV,1.0
197,2024-06-01 00:00:00,1899-12-30 06:30:58,UberX,Uber Pay,1,2.7,$10.5,Times Sq/Theatre District,1.0
200,2024-06-01 00:00:00,1899-12-30 06:36:31,UberX,Uber Pay,2,1.2,$7.7,Gramercy,1.0
201,2024-06-01 00:00:00,1899-12-30 06:43:39,UberX,Uber Pay,1,2.8,$12.5,East Chelsea,1.0
204,2024-06-01 00:00:00,1899-12-30 06:53:31,UberX,Uber Pay,1,2.92,$13.5,Flatiron,1.0
206,2024-06-01 00:00:00,1899-12-30 06:33:01,UberX,Uber Pay,1,1.39,$9.5,Penn Station/Madison Sq West,1.0
207,2024-06-01 00:00:00,1899-12-30 06:02:40,UberX,Uber Pay,1,1.4,$10.2,Clinton East,1.0
208,2024-06-01 00:00:00,1899-12-30 06:35:36,UberX,Uber Pay,1,2.03,$16.0,UN/Turtle Bay South,1.0
209,2024-06-01 00:00:00,1899-12-30 06:21:03,UberX,Uber Pay,1,1.7,$9.1,Clinton East,1.0
211,2024-06-01 00:00:00,1899-12-30 06:25:46,UberX,Uber Pay,1,1.34,$10.1,Penn Station/Madison Sq West,1.0
214,2024-06-01 00:00:00,1899-12-30 06:41:43,UberX,Uber Pay,2,1.41,$14.5,Penn Station/Madison Sq West,1.0
216,2024-06-01 00:00:00,1899-12-30 06:54:43,UberX,Uber Pay,1,1.8,$11.4,Murray Hill,1.0
224,2024-06-01 00:00:00,1899-12-30 06:33:49,UberX,Uber Pay,1,1.52,$9.7,Lenox Hill East,1.0
235,2024-06-01 00:00:00,1899-12-30 06:46:36,UberX,Uber Pay,1,7.48,$27.5,Sutton Place/Turtle Bay North,1.0
238,2024-06-01 00:00:00,1899-12-30 06:30:27,UberX,Uber Pay,3,3.27,$15.1,Penn Station/Madison Sq West,1.0
245,2024-06-01 00:00:00,1899-12-30 07:12:41,UberX,Uber Pay,1,1.6,$9.1,Penn Station/Madison Sq West,1.0
246,2024-06-01 00:00:00,1899-12-30 07:06:08,UberX,Uber Pay,1,8.2,$30.7,Upper West Side South,1.0
250,2024-06-01 00:00:00,1899-12-30 07:11:35,UberX,Uber Pay,1,4.23,$19.2,Yorkville West,1.0
255,2024-06-01 00:00:00,1899-12-30 07:05:39,UberX,Uber Pay,1,1.09,$7.9,Midtown East,1.0
257,2024-06-01 00:00:00,1899-12-30 07:54:30,UberX,Uber Pay,1,1.46,$6.0,Kips Bay,1.0
261,2024-06-01 00:00:00,1899-12-30 07:36:02,UberX,Uber Pay,1,2.9,$19.8,Lenox Hill East,1.0
263,2024-06-01 00:00:00,1899-12-30 07:37:07,UberX,Uber Pay,1,3.4,$15.2,Yorkville East,1.0
265,2024-06-01 00:00:00,1899-12-30 07:50:24,UberX,Uber Pay,1,2.88,$13.3,Lincoln Square West,1.0
266,2024-06-01 00:00:00,1899-12-30 07:44:15,UberX,Uber Pay,2,7.96,$28.5,Lenox Hill East,1.0
268,2024-06-01 00:00:00,1899-12-30 07:52:42,UberX,Uber Pay,1,2.44,$14.5,Times Sq/Theatre District,1.0
271,2024-06-01 00:00:00,1899-12-30 07:06:46,UberX,Uber Pay,1,1.78,$9.8,East Harlem North,1.0
275,2024-06-01 00:00:00,1899-12-30 07:36:39,UberX,Uber Pay,1,2.7,$10.5,Stuy Town/Peter Cooper Village,1.0
278,2024-06-01 00:00:00,1899-12-30 07:29:44,UberX,Uber Pay,1,1.24,$7.3,East Village,1.0
280,2024-06-01 00:00:00,1899-12-30 07:48:14,UberX,Uber Pay,2,1.08,$8.5,Union Sq,1.0
284,2024-06-01 00:00:00,1899-12-30 07:46:36,UberX,Uber Pay,1,1.3,$9.1,Lincoln Square East,1.0
288,2024-06-01 00:00:00,1899-12-30 07:05:56,UberX,Uber Pay,1,1.66,$8.6,Penn Station/Madison Sq West,1.0
291,2024-06-01 00:00:00,1899-12-30 07:51:17,UberX,Uber Pay,1,1.22,$7.5,Yorkville West,1.0
296,2024-06-01 00:00:00,1899-12-30 07:44:49,UberX,Uber Pay,1,1.6,$8.5,Garment District,1.0
297,2024-06-01 00:00:00,1899-12-30 07:36:31,UberX,Uber Pay,2,1.46,$7.0,Penn Station/Madison Sq West,1.0
301,2024-06-01 00:00:00,1899-12-30 07:08:59,UberX,Uber Pay,1,1.51,$7.5,Penn Station/Madison Sq West,1.0
303,2024-06-01 00:00:00,1899-12-30 07:53:26,UberX,Uber Pay,1,2.18,$10.9,Midtown East,1.0
304,2024-06-01 00:00:00,1899-12-30 07:58:00,UberX,Uber Pay,3,3.27,$17.0,Sunnyside,1.0
308,2024-06-01 00:00:00,1899-12-30 07:39:58,UberX,Uber Pay,1,2.13,$11.5,Yorkville West,1.0
309,2024-06-01 00:00:00,1899-12-30 07:09:36,UberX,Uber Pay,1,1.11,$8.5,Sutton Place/Turtle Bay North,1.0
314,2024-06-01 00:00:00,1899-12-30 07:42:43,UberX,Uber Pay,1,10.1,$35.6,NV,1.0
318,2024-06-01 00:00:00,1899-12-30 07:34:00,UberX,Uber Pay,2,5.78,$20.7,Central Park,1.0
319,2024-06-01 00:00:00,1899-12-30 07:22:33,UberX,Uber Pay,1,1.41,$8.3,Gramercy,1.0
322,2024-06-01 00:00:00,1899-12-30 07:32:42,UberX,Uber Pay,1,5.52,$18.5,Upper West Side North,1.0
327,2024-06-01 00:00:00,1899-12-30 07:50:56,UberX,Uber Pay,1,2.36,$12.7,Kips Bay,1.0
330,2024-06-01 00:00:00,1899-12-30 07:08:45,UberX,Uber Pay,1,1.78,$9.4,Lenox Hill West,1.0
332,2024-06-01 00:00:00,1899-12-30 07:56:13,UberX,Uber Pay,1,1.69,$9.7,Clinton East,1.0
339,2024-06-01 00:00:00,1899-12-30 07:43:15,UberX,Uber Pay,1,1.37,$8.8,Lincoln Square West,1.0
343,2024-06-01 00:00:00,1899-12-30 07:01:38,UberX,Uber Pay,1,3.4,$15.1,Gramercy,1.0
348,2024-06-01 00:00:00,1899-12-30 07:48:45,UberX,Uber Pay,1,2.48,$13.4,East Harlem North,1.0
349,2024-06-01 00:00:00,1899-12-30 07:17:12,UberX,Uber Pay,1,1.04,$7.9,Yorkville East,1.0
351,2024-06-01 00:00:00,1899-12-30 07:47:17,UberX,Uber Pay,6,2.55,$14.3,Lenox Hill West,1.0
352,2024-06-01 00:00:00,1899-12-30 07:52:46,UberX,Uber Pay,1,1.4,$9.1,Greenwich Village North,1.0
356,2024-06-01 00:00:00,1899-12-30 07:27:40,UberX,Uber Pay,1,1.96,$9.7,Lincoln Square West,1.0
357,2024-06-01 00:00:00,1899-12-30 07:43:19,UberX,Uber Pay,1,3.49,$16.5,Penn Station/Madison Sq West,1.0
358,2024-06-01 00:00:00,1899-12-30 06:57:50,UberX,Uber Pay,1,1.54,$7.5,Central Park,1.0
361,2024-06-01 00:00:00,1899-12-30 07:57:34,UberX,Uber Pay,1,2.73,$11.0,Lincoln Square East,1.0
362,2024-06-01 00:00:00,1899-12-30 07:14:03,UberX,Uber Pay,1,1.61,$9.5,Midtown North,1.0
369,2024-06-01 00:00:00,1899-12-30 07:45:53,UberX,Uber Pay,1,1.8,$10.3,Central Park,1.0
371,2024-06-01 00:00:00,1899-12-30 07:19:10,UberX,Uber Pay,1,25.81,$71.8,Hammels/Arverne,1.0
375,2024-06-01 00:00:00,1899-12-30 07:12:16,UberX,Uber Pay,1,2.89,$17.7,Penn Station/Madison Sq West,1.0
376,2024-06-01 00:00:00,1899-12-30 07:32:13,UberX,Uber Pay,1,6.12,$25.3,East Harlem South,1.0
377,2024-06-01 00:00:00,1899-12-30 07:16:32,UberX,Uber Pay,1,1.03,$6.7,Gramercy,1.0
378,2024-06-01 00:00:00,1899-12-30 07:30:53,UberX,Uber Pay,1,3.85,$18.5,Manhattan Valley,1.0
383,2024-06-01 00:00:00,1899-12-30 07:11:50,UberX,Uber Pay,3,2.72,$14.6,Kips Bay,1.0
384,2024-06-01 00:00:00,1899-12-30 08:14:19,UberX,Uber Pay,1,1.1,$8.0,Yorkville West,1.0
387,2024-06-01 00:00:00,1899-12-30 08:34:03,UberX,Uber Pay,1,6,$25.3,Upper East Side South,1.0
391,2024-06-01 00:00:00,1899-12-30 08:44:33,UberX,Uber Pay,1,2.1,$11.5,Upper West Side South,1.0
392,2024-06-01 00:00:00,1899-12-30 08:28:51,UberX,Uber Pay,1,1.63,$9.6,Sutton Place/Turtle Bay North,1.0
393,2024-06-01 00:00:00,1899-12-30 08:40:00,UberX,Uber Pay,1,6.2,$20.0,Seaport,1.0
405,2024-06-01 00:00:00,1899-12-30 08:13:56,UberX,Uber Pay,1,1.5,$9.7,Sutton Place/Turtle Bay North,1.0
411,2024-06-01 00:00:00,1899-12-30 08:32:39,UberX,Uber Pay,1,3.23,$15.7,Yorkville West,1.0
418,2024-06-01 00:00:00,1899-12-30 08:24:34,UberX,Uber Pay,1,4.58,$21.1,East Village,1.0
419,2024-06-01 00:00:00,1899-12-30 08:17:41,UberX,Uber Pay,1,1.06,$7.5,Midtown North,1.0
420,2024-06-01 00:00:00,1899-12-30 08:31:41,UberX,Uber Pay,1,1.31,$9.1,Clinton East,1.0
422,2024-06-01 00:00:00,1899-12-30 08:48:19,UberX,Uber Pay,1,2.9,$12.5,Upper East Side North,1.0
424,2024-06-01 00:00:00,1899-12-30 08:17:33,UberX,Uber Pay,1,2.62,$13.3,NV,1.0
425,2024-06-01 00:00:00,1899-12-30 08:09:37,UberX,Uber Pay,1,1.9,$11.0,Penn Station/Madison Sq West,1.0
426,2024-06-01 00:00:00,1899-12-30 08:27:45,UberX,Uber Pay,2,2.28,$23.3,Upper West Side South,1.0
429,2024-06-01 00:00:00,1899-12-30 08:00:04,UberX,Uber Pay,1,2.4,$13.3,Clinton East,1.0
430,2024-06-01 00:00:00,1899-12-30 08:29:30,UberX,Uber Pay,1,1.5,$9.1,Lenox Hill West,1.0
431,2024-06-01 00:00:00,1899-12-30 08:07:42,UberX,Uber Pay,1,2.59,$12.1,Midtown North,1.0
439,2024-06-01 00:00:00,1899-12-30 08:54:58,UberX,Uber Pay,1,2.84,$15.2,Lenox Hill East,1.0
443,2024-06-01 00:00:00,1899-12-30 08:12:11,UberX,Uber Pay,3,2.31,$13.3,Lenox Hill East,1.0
445,2024-06-01 00:00:00,1899-12-30 08:15:42,UberX,Uber Pay,1,1.3,$7.7,Gramercy,1.0
453,2024-06-01 00:00:00,1899-12-30 08:06:05,UberX,Uber Pay,1,1.4,$10.7,Lenox Hill West,1.0
455,2024-06-01 00:00:00,1899-12-30 08:37:41,UberX,Uber Pay,5,4.3,$23.1,Upper West Side North,1.0
459,2024-06-01 00:00:00,1899-12-30 08:35:00,UberX,Uber Pay,1,1.3,$7.0,Garment District,1.0
463,2024-06-01 00:00:00,1899-12-30 08:29:19,UberX,Uber Pay,1,1.49,$9.5,Gramercy,1.0
469,2024-06-01 00:00:00,1899-12-30 08:13:53,UberX,Uber Pay,1,1.97,$10.3,Midtown East,1.0
470,2024-06-01 00:00:00,1899-12-30 08:01:54,UberX,Uber Pay,1,6.4,$25.0,Manhattan Valley,1.0
474,2024-06-01 00:00:00,1899-12-30 08:03:48,UberX,Uber Pay,1,1.3,$8.3,Garment District,1.0
475,2024-06-01 00:00:00,1899-12-30 08:10:28,UberX,Uber Pay,2,4.81,$19.6,Financial District North,1.0
477,2024-06-01 00:00:00,1899-12-30 08:51:02,UberX,Uber Pay,1,2.8,$13.3,Yorkville East,1.0
479,2024-06-01 00:00:00,1899-12-30 08:57:51,UberX,Uber Pay,1,1.5,$9.5,Penn Station/Madison Sq West,1.0
480,2024-06-01 00:00:00,1899-12-30 08:33:40,UberX,Uber Pay,1,1.46,$9.7,Upper West Side South,1.0
483,2024-06-01 00:00:00,1899-12-30 08:50:02,UberX,Uber Pay,1,2.05,$12.4,Kips Bay,1.0
485,2024-06-01 00:00:00,1899-12-30 08:40:56,UberX,Uber Pay,4,1.18,$8.5,Yorkville West,1.0
486,2024-06-01 00:00:00,1899-12-30 08:52:12,UberX,Uber Pay,6,1.59,$9.7,Upper East Side South,1.0
487,2024-06-01 00:00:00,1899-12-30 08:41:33,UberX,Uber Pay,1,2.05,$11.5,Upper West Side South,1.0
498,2024-06-01 00:00:00,1899-12-30 08:23:28,UberX,Uber Pay,2,2.36,$12.5,Lenox Hill East,1.0
499,2024-06-01 00:00:00,1899-12-30 08:49:06,UberX,Uber Pay,1,2.8,$14.9,Yorkville East,1.0
503,2024-06-01 00:00:00,1899-12-30 08:38:30,UberX,Uber Pay,1,1.73,$9.8,Manhattanville,1.0
505,2024-06-01 00:00:00,1899-12-30 08:42:18,UberX,Uber Pay,2,1.54,$13.9,Lenox Hill East,1.0
506,2024-06-01 00:00:00,1899-12-30 08:57:19,UberX,Uber Pay,1,2.8,$12.5,Lincoln Square East,1.0
509,2024-06-01 00:00:00,1899-12-30 08:40:09,UberX,Uber Pay,2,1.1,$8.5,Midtown North,1.0
510,2024-06-01 00:00:00,1899-12-30 08:40:56,UberX,Uber Pay,1,3,$14.5,Battery Park City,1.0
511,2024-06-01 00:00:00,1899-12-30 08:35:30,UberX,Uber Pay,2,2.32,$13.9,Upper West Side North,1.0
516,2024-06-01 00:00:00,1899-12-30 08:45:03,UberX,Uber Pay,1,1.87,$12.1,Garment District,1.0
520,2024-06-01 00:00:00,1899-12-30 08:29:51,UberX,Uber Pay,1,2.74,$11.4,Midtown North,1.0
523,2024-06-01 00:00:00,1899-12-30 08:42:53,UberX,Uber Pay,1,3.84,$22.5,Upper West Side North,1.0
525,2024-06-01 00:00:00,1899-12-30 08:09:42,UberX,Uber Pay,1,2.01,$10.0,Midtown South,1.0
545,2024-06-01 00:00:00,1899-12-30 08:40:07,UberX,Uber Pay,1,6.5,$23.5,Clinton East,1.0
546,2024-06-01 00:00:00,1899-12-30 08:37:30,UberX,Uber Pay,1,2.22,$11.5,Upper West Side South,1.0
548,2024-06-01 00:00:00,1899-12-30 08:42:53,UberX,Uber Pay,1,3.5,$16.0,Midtown East,1.0
551,2024-06-01 00:00:00,1899-12-30 08:34:34,UberX,Uber Pay,1,3.85,$18.5,Midtown East,1.0
554,2024-06-01 00:00:00,1899-12-30 08:47:37,UberX,Uber Pay,1,1.3,$8.5,Upper West Side North,1.0
557,2024-06-01 00:00:00,1899-12-30 08:44:36,UberX,Uber Pay,1,1.36,$8.0,Lincoln Square East,1.0
560,2024-06-01 00:00:00,1899-12-30 08:28:50,UberX,Uber Pay,1,1.85,$10.0,UN/Turtle Bay South,1.0
566,2024-06-01 00:00:00,1899-12-30 08:49:24,UberX,Uber Pay,1,1.13,$7.9,Penn Station/Madison Sq West,1.0
567,2024-06-01 00:00:00,1899-12-30 09:08:19,UberX,Uber Pay,1,1.67,$10.2,Midtown North,1.0
568,2024-06-01 00:00:00,1899-12-30 09:15:42,UberX,Uber Pay,2,2.54,$13.3,Midtown East,1.0
570,2024-06-01 00:00:00,1899-12-30 09:16:07,UberX,Uber Pay,1,1.78,$11.0,Yorkville East,1.0
572,2024-06-01 00:00:00,1899-12-30 09:59:28,UberX,Uber Pay,1,1.3,$9.0,Upper West Side South,1.0
577,2024-06-01 00:00:00,1899-12-30 09:57:45,UberX,Uber Pay,1,1.2,$8.5,Union Sq,1.0
579,2024-06-01 00:00:00,1899-12-30 09:57:34,UberX,Uber Pay,1,1.2,$8.5,Midtown South,1.0
580,2024-06-01 00:00:00,1899-12-30 09:28:12,UberX,Uber Pay,2,6.3,$26.4,Midtown East,1.0
585,2024-06-01 00:00:00,1899-12-30 09:19:26,UberX,Uber Pay,1,4.41,$19.1,Astoria,1.0
594,2024-06-01 00:00:00,1899-12-30 09:52:57,UberX,Uber Pay,1,4.9,$17.5,Murray Hill,1.0
595,2024-06-01 00:00:00,1899-12-30 09:27:45,UberX,Uber Pay,1,3.7,$16.5,Sutton Place/Turtle Bay North,1.0
602,2024-06-01 00:00:00,1899-12-30 09:00:54,UberX,Uber Pay,1,2.3,$15.1,Upper West Side South,1.0
605,2024-06-01 00:00:00,1899-12-30 09:00:37,UberX,Uber Pay,1,1.36,$9.5,Upper West Side South,1.0
617,2024-06-01 00:00:00,1899-12-30 09:02:51,UberX,Uber Pay,1,4,$18.1,Sunnyside,1.0
621,2024-06-01 00:00:00,1899-12-30 09:53:05,UberX,Uber Pay,1,1.5,$8.7,Flatiron,1.0
622,2024-06-01 00:00:00,1899-12-30 09:34:00,UberX,Uber Pay,1,2.19,$15.1,Lenox Hill East,1.0
623,2024-06-01 00:00:00,1899-12-30 09:50:41,UberX,Uber Pay,1,3.23,$14.9,Upper West Side South,1.0
624,2024-06-01 00:00:00,1899-12-30 09:29:56,UberX,Uber Pay,1,1.3,$8.5,Lincoln Square West,1.0
625,2024-06-01 00:00:00,1899-12-30 09:16:09,UberX,Uber Pay,1,1.08,$8.3,Upper West Side South,1.0
627,2024-06-01 00:00:00,1899-12-30 09:14:55,UberX,Uber Pay,1,2.8,$14.6,Lincoln Square East,1.0
629,2024-06-01 00:00:00,1899-12-30 08:57:55,UberX,Uber Pay,1,6.12,$24.6,Upper West Side North,1.0
632,2024-06-01 00:00:00,1899-12-30 09:42:20,UberX,Uber Pay,3,1.97,$9.7,Gramercy,1.0
633,2024-06-01 00:00:00,1899-12-30 09:13:36,UberX,Uber Pay,1,1.24,$15.5,Yorkville West,1.0
635,2024-06-01 00:00:00,1899-12-30 08:59:15,UberX,Uber Pay,1,3.55,$16.6,Manhattan Valley,1.0
639,2024-06-01 00:00:00,1899-12-30 09:53:28,UberX,Uber Pay,1,3.07,$16.3,Penn Station/Madison Sq West,1.0
644,2024-06-01 00:00:00,1899-12-30 09:47:00,UberX,Uber Pay,1,2.65,$13.3,Upper West Side South,1.0
647,2024-06-01 00:00:00,1899-12-30 09:38:13,UberX,Uber Pay,1,3.6,$14.5,Penn Station/Madison Sq West,1.0
648,2024-06-01 00:00:00,1899-12-30 09:17:03,UberX,Uber Pay,1,1.54,$9.6,Upper East Side South,1.0
649,2024-06-01 00:00:00,1899-12-30 09:24:13,UberX,Uber Pay,1,6.46,$25.0,Times Sq/Theatre District,1.0
656,2024-06-01 00:00:00,1899-12-30 09:03:00,UberX,Uber Pay,1,1.4,$8.3,Kips Bay,1.0
658,2024-06-01 00:00:00,1899-12-30 09:11:45,UberX,Uber Pay,6,2.6,$15.7,Upper East Side North,1.0
665,2024-06-01 00:00:00,1899-12-30 09:01:35,UberX,Uber Pay,2,4.82,$25.8,Lenox Hill West,1.0
672,2024-06-01 00:00:00,1899-12-30 09:00:02,UberX,Uber Pay,1,2.29,$12.7,Upper East Side North,1.0
677,2024-06-01 00:00:00,1899-12-30 09:15:43,UberX,Uber Pay,1,1.32,$10.5,Lenox Hill East,1.0
680,2024-06-01 00:00:00,1899-12-30 09:50:29,UberX,Uber Pay,1,2.37,$11.5,UN/Turtle Bay South,1.0
681,2024-06-01 00:00:00,1899-12-30 09:51:47,UberX,Uber Pay,1,1.76,$10.9,Upper West Side North,1.0
687,2024-06-01 00:00:00,1899-12-30 09:20:49,UberX,Uber Pay,2,1.05,$8.3,Upper East Side South,1.0
691,2024-06-01 00:00:00,1899-12-30 09:04:20,UberX,Uber Pay,1,19.29,$59.8,South Ozone Park,1.0
692,2024-06-01 00:00:00,1899-12-30 09:38:06,UberX,Uber Pay,6,10.82,$39.6,Kips Bay,1.0
695,2024-06-01 00:00:00,1899-12-30 09:20:02,UberX,Uber Pay,1,1.43,$7.2,East Harlem South,1.0
702,2024-06-01 00:00:00,1899-12-30 09:18:00,UberX,Uber Pay,1,1.17,$8.5,Union Sq,1.0
703,2024-06-01 00:00:00,1899-12-30 09:21:26,UberX,Uber Pay,1,1.11,$6.7,East Village,1.0
704,2024-06-01 00:00:00,1899-12-30 09:57:43,UberX,Uber Pay,1,1.47,$8.5,Midtown Center,1.0
705,2024-06-01 00:00:00,1899-12-30 09:54:34,UberX,Uber Pay,1,2.4,$13.9,Midtown East,1.0
707,2024-06-01 00:00:00,1899-12-30 09:24:37,UberX,Uber Pay,1,1.9,$11.5,Lenox Hill East,1.0
708,2024-06-01 00:00:00,1899-12-30 09:19:55,UberX,Uber Pay,1,1.99,$11.5,Lenox Hill West,1.0
710,2024-06-01 00:00:00,1899-12-30 09:43:00,UberX,Uber Pay,1,2.6,$12.0,Yorkville West,1.0
714,2024-06-01 00:00:00,1899-12-30 09:27:12,UberX,Uber Pay,1,1.49,$9.7,Greenwich Village North,1.0
727,2024-06-01 00:00:00,1899-12-30 09:49:28,UberX,Uber Pay,1,2.02,$10.5,Murray Hill,1.0
728,2024-06-01 00:00:00,1899-12-30 09:10:09,UberX,Uber Pay,2,1.52,$9.0,Upper West Side South,1.0
729,2024-06-01 00:00:00,1899-12-30 09:21:45,UberX,Uber Pay,1,1.48,$9.5,Lincoln Square East,1.0
730,2024-06-01 00:00:00,1899-12-30 09:04:02,UberX,Uber Pay,1,1.4,$10.9,Midtown North,1.0
731,2024-06-01 00:00:00,1899-12-30 09:15:51,UberX,Uber Pay,1,1.5,$9.4,Upper West Side North,1.0
734,2024-06-01 00:00:00,1899-12-30 09:51:16,UberX,Uber Pay,1,1.2,$8.1,West Village,1.0
738,2024-06-01 00:00:00,1899-12-30 09:39:01,UberX,Uber Pay,1,1.45,$9.1,Lenox Hill West,1.0
748,2024-06-01 00:00:00,1899-12-30 09:56:11,UberX,Uber Pay,1,1.9,$9.7,East Harlem South,1.0
749,2024-06-01 00:00:00,1899-12-30 09:21:32,UberX,Uber Pay,1,1.61,$9.1,Sutton Place/Turtle Bay North,1.0
750,2024-06-01 00:00:00,1899-12-30 09:33:02,UberX,Uber Pay,1,3.85,$19.9,Union Sq,1.0
751,2024-06-01 00:00:00,1899-12-30 09:55:02,UberX,Uber Pay,1,3.63,$13.3,Yorkville East,1.0
756,2024-06-01 00:00:00,1899-12-30 10:14:12,UberX,Uber Pay,1,2.35,$15.1,Lenox Hill East,1.0
760,2024-06-01 00:00:00,1899-12-30 10:24:46,UberX,Uber Pay,1,1.25,$11.4,Upper West Side North,1.0
761,2024-06-01 00:00:00,1899-12-30 10:11:48,UberX,Uber Pay,1,1.18,$9.0,Stuy Town/Peter Cooper Village,1.0
762,2024-06-01 00:00:00,1899-12-30 10:26:55,UberX,Uber Pay,1,11.6,$45.7,Midtown East,1.0
763,2024-06-01 00:00:00,1899-12-30 10:33:26,UberX,Uber Pay,1,2.65,$12.7,Upper West Side North,1.0
764,2024-06-01 00:00:00,1899-12-30 10:14:32,UberX,Uber Pay,1,1.29,$9.7,Upper West Side North,1.0
770,2024-06-01 00:00:00,1899-12-30 10:48:31,UberX,Uber Pay,2,3.81,$17.5,East Village,1.0
771,2024-06-01 00:00:00,1899-12-30 10:02:45,UberX,Uber Pay,3,1.33,$13.0,Gramercy,1.0
